id,name
1,Afghanistan
2,Aland Islands
3,Albania
4,Algeria
5,American Samoa
6,Andorra
7,Angola
8,Anguilla
9,Antigua and Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Australia
14,Austria
15,Azerbaijan
16,Bahamas
17,Bahrain
18,Bangladesh
19,Barbados
20,Belarus
21,Belgium
22,Belize
23,Benin
24,Bermuda
25,Bhutan
26,Bolivia
27,Bosnia and Herzegovina
28,Botswana
29,Brazil
30,British Indian Ocean Territory
31,British Virgin Islands
32,Brunei Darussalam
33,Bulgaria
34,Burkina Faso
35,Burma
36,Burundi
37,Cambodia
38,Cameroon
39,Canada
40,Cape Verde
41,Cayman Islands
42,Central African Republic
43,Chad
44,Chile
45,China
46,Christmas Island
47,Cocos (Keeling) Islands
48,Colombia
49,Comoros
50,Congo-Brazzaville
51,Congo-Kinshasa
52,Cook Islands
53,Costa Rica
54,Cote d'Ivoire
55,Croatia
56,Curacao
57,Cyprus
58,Czech Republic
59,Denmark
60,Djibouti
61,Dominica
62,Dominican Republic
63,East Timor
64,Ecuador
65,Egypt
66,El Salvador
67,Equatorial Guinea
68,Eritrea
69,Estonia
70,Ethiopia
71,Falkland Islands
72,Faroe Islands
73,Federated States of Micronesia
74,Fiji
75,Finland
76,France
77,French Guiana
78,French Polynesia
79,French Southern Lands
80,Gabon
81,Gambia
82,Georgia
83,Germany
84,Ghana
85,Gibraltar
86,Greece
87,Greenland
88,Grenada
89,Guadeloupe
90,Guam
91,Guatemala
92,Guernsey
93,Guinea
94,Guinea-Bissau
95,Guyana
96,Haiti
97,Heard and McDonald Islands
98,Honduras
99,Hong Kong
100,Hungary
101,Iceland
102,India
103,Indonesia
104,Iraq
105,Ireland
106,Isle of Man
107,Israel
108,Italy
109,Jamaica
110,Japan
111,Jersey
112,Jordan
113,Kazakhstan
114,Kenya
115,Kiribati
116,Kuwait
117,Kyrgyzstan
118,Laos
119,Latvia
120,Lebanon
121,Lesotho
122,Liberia
123,Libya
124,Liechtenstein
125,Lithuania
126,Luxembourg
127,Macau
128,Macedonia
129,Madagascar
130,Malawi
131,Malaysia
132,Maldives
133,Mali
134,Malta
135,Marshall Islands
136,Martinique
137,Mauritania
138,Mauritius
139,Mayotte
140,Mexico
141,Moldova
142,Monaco
143,Mongolia
144,Montenegro
145,Montserrat
146,Morocco
147,Mozambique
148,Namibia
149,Nauru
150,Nepal
151,Netherlands
152,New Caledonia
153,New Zealand
154,Nicaragua
155,Niger
156,Nigeria
157,Niue
158,Norfolk Island
159,Northern Mariana Islands
160,Norway
161,Oman
162,Pakistan
163,Palau
164,Panama
165,Papua New Guinea
166,Paraguay
167,Peru
168,Philippines
169,Pitcairn Islands
170,Poland
171,Portugal
172,Puerto Rico
173,Qatar
174,Reunion
175,Romania
176,Russia
177,Rwanda
178,Saint Barthelemy
179,Saint Helena
180,Saint Kitts and Nevis
181,Saint Lucia
182,Saint Martin
183,Saint Pierre and Miquelon
184,Saint Vincent
185,Samoa
186,San Marino
187,Sao Tome and Principe
188,Saudi Arabia
189,Scotland
190,Senegal
191,Serbia
192,Seychelles
193,Sierra Leone
194,Singapore
195,Sint Maarten
196,Slovakia
197,Slovenia
198,Solomon Islands
199,Somalia
200,South Africa
201,South Georgia
202,South Korea
203,Spain
204,Sri Lanka
205,Sudan
206,Suriname
207,Svalbard and Jan Mayen
208,Swaziland
209,Sweden
210,Switzerland
211,Syria
212,Taiwan
213,Tajikistan
214,Tanzania
215,Thailand
216,Togo
217,Tokelau
218,Tonga
219,Trinidad and Tobago
220,Tunisia
221,Turkey
222,Turkmenistan
223,Turks and Caicos Islands
224,Tuvalu
225,Uganda
226,Ukraine
227,United Arab Emirates
228,United Kingdom
229,United States
230,Uruguay
231,Uzbekistan
232,Vanuatu
233,Vatican City
234,Venezuela
235,Vietnam
236,Wallis and Futuna
237,Western Sahara
238,Worldwide
239,Yemen
240,Zambia
241,Zimbabwe
