id,name,website,email,second_email,third_email,staff_list,city,state,country_id,twitter,facebook,instagram,linkedin,twitter_followers,facebook_likes,instagram_followers,hype_m,submithub,flagged,inactive,notes,description,user_id
1,3musicguys,http://3musicguys.com/,3musicguys@gmail.com,,,,Los Vegas,NV,229,2dopeboyz,2dopeboyz,2dopeboyz,,,,,FALSE,FALSE,,FALSE,,"Hip Hop, Trap focused",
2,All The Greatest Music,www.allthegreatestmusic.com,editorial@allthegreatestmusic.com,info@allthegreatestmusic.com,,http://www.allthegreatestmusic.com/about/,Brooklyn,NY,229,allthegreatestmusic,allthegreatestmusic,allthegreatestmusic,vsearch/p?company=allthegreatestmusic&trk=prof-0-ovw-curr_pos,,,,TRUE,FALSE,,FALSE,,"Experimental, Alternative - Mostly cover their own shows",
3,Anthesis Music Blog,http://www.adultswim.com/music/,,,,,Atlanta,GA,229,adultswim,adultswim,adultswim,"vsearch/p?f_CC=2673916&trk=rr_connectedness&rsid=3433789871466368746888&openFacets=N,G,CC&page_num=1&pt=people",,,,FALSE,FALSE,,FALSE,Check LinkedIn only,"Electronic, Hip Hop & Alternative",
4,Acquire Art,http://www.allmusic.com/,content.music@rovicorp.com,,,,San Francisco,CA,229,Allmusic,AllMusicDotCom,,,,,,FALSE,FALSE,,FALSE,,All Genres - Cover art focused,
5,Acid Tunes,http://www.altpress.com/,news@altpress.com,editorial@altpress.com,,"http://www.altpress.com/contact, http://www.altpress.com/contributors/list",Cleveland,OH,229,AltPress,altpress,AltPress,company/41702?trk=prof-0-ovw-curr_pos,,,,FALSE,FALSE,,FALSE,,"Electronic, Acid House Focused",
6,Afflict,http://antiquiet.com/,,,,,Los Angeles,CA,229,antiquiet,antiquiet,,,,,,FALSE,FALSE,,FALSE,,"Metal, Rock",
7,Affable Anthems,http://www.aquariumdrunkard.com/,,,,http://www.aquariumdrunkard.com/contact/,Los Angeles,CA,229,aquadrunkard,Aquarium-Drunkard-370693383415,aquariumdrunkard,vsearch/p?company=Aquarium+Drunkard&trk=prof-0-ovw-curr_pos,,,,FALSE,FALSE,,FALSE,Check Staff List only. Check Twitter and LinkedIn of each journalist to see if they still work there. Some articles have authors at the very end of the article,All Genres - Top 40,
8,Asthmatic Panther,http://www.artistdirect.com/,,,,,Los Angeles,CA,229,ARTISTdirect,ARTISTdirect-85437842151,,company/32354?trk=prof-0-ovw-curr_pos,,,,FALSE,FALSE,,FALSE,,All Genres - Small Independent Artists,
9,Attack Attack Attack,https://www.attackmagazine.com,hello@attackmagazine.com,,,,London,,229,attackmag1,attackmag,,,,,,FALSE,FALSE,,FALSE,,"Electronic, Experimental",
10,Austin City Music Blog,http://www.austinchronicle.com/music/,,,,http://www.austinchronicle.com/contact/,Austin,TX,229,AustinChronicle,AustinChronicle,,company/the-austin-chronicle?trk=company_logo,,,,FALSE,FALSE,,FALSE,,All Genres - Austin Artists Only,
