job_id,presstype_id,created_at,updated_at
1,4,,
1,8,,
1,16,,
1,20,,
1,22,,
2,4,,
2,8,,
2,11,,
2,16,,
3,8,,
3,11,,
3,16,,
3,20,,
3,22,,
4,7,,
4,11,,
4,16,,
4,20,,
4,22,,
5,10,,
5,16,,
5,20,,
5,22,,
6,7,,
6,16,,
6,20,,
6,22,,
7,1,,
7,7,,
7,11,,
7,20,,
7,22,,
8,7,,
8,11,,
8,16,,
8,20,,
8,22,,
10,4,,
10,7,,
10,11,,
10,16,,
10,20,,
10,22,,
11,16,,
11,20,,
11,22,,
12,8,,
12,16,,
12,20,,
12,22,,
13,7,,
13,16,,
13,20,,
13,22,,
14,1,,
14,7,,
14,22,,
15,10,,
15,16,,
15,20,,
15,22,,
16,20,,
16,22,,
17,7,,
18,16,,
18,20,,
18,22,,
21,4,,
21,6,,
21,7,,
21,8,,
21,15,,
21,16,,
21,19,,
22,16,,
22,20,,
23,16,,
24,16,,
25,16,,
26,16,,
27,16,,
28,16,,
29,7,,
29,11,,
29,19,,
29,20,,
29,21,,
29,22,,
30,7,,
30,8,,
30,11,,
30,19,,
30,20,,
30,21,,
30,22,,
31,7,,
31,10,,
31,11,,
31,19,,
31,20,,
31,22,,
32,11,,
32,20,,
32,22,,
33,6,,
33,7,,
33,8,,
33,11,,
33,16,,
33,19,,
33,20,,
33,21,,
33,22,,
34,6,,
34,15,,
34,17,,
34,19,,
34,21,,
34,22,,
35,5,,
35,7,,
35,8,,
35,11,,
35,16,,
35,20,,
36,8,,
36,20,,
36,22,,
37,5,,
37,8,,
37,11,,
37,20,,
37,22,,
38,5,,
38,6,,
38,9,,
38,11,,
38,20,,
38,22,,
39,1,,
39,8,,
39,11,,
39,16,,
39,20,,
39,22,,
40,5,,
40,7,,
40,9,,
40,11,,
40,13,,
40,15,,
40,19,,
40,20,,
41,5,,
41,6,,
41,7,,
41,9,,
41,15,,
41,16,,
41,17,,
41,19,,
41,20,,
41,22,,
42,4,,
42,7,,
42,8,,
42,9,,
42,11,,
42,16,,
42,20,,
42,21,,
42,22,,
43,5,,
43,7,,
43,11,,
43,20,,
43,22,,
44,13,,
44,16,,
44,20,,
44,22,,
46,7,,
46,16,,
47,7,,
47,16,,
48,4,,
48,8,,
48,13,,
48,16,,
49,1,,
49,13,,
49,16,,
49,20,,
50,5,,
50,7,,
50,16,,
50,20,,
52,13,,
53,7,,
53,16,,
53,20,,
53,22,,
55,1,,
55,7,,
55,13,,
55,16,,
56,16,,
56,20,,
58,20,,
61,6,,
61,20,,
61,22,,
62,3,,
62,16,,
62,19,,
62,21,,
64,13,,
64,22,,
65,7,,
65,18,,
67,5,,
67,9,,
67,11,,
67,19,,
67,21,,
68,8,,
68,9,,
68,16,,
68,20,,
69,7,,
69,9,,
69,16,,
69,20,,
70,5,,
70,7,,
70,8,,
70,9,,
70,11,,
70,16,,
72,5,,
72,7,,
72,8,,
72,9,,
72,16,,
72,20,,
73,4,,
73,8,,
73,11,,
73,20,,
74,4,,
74,5,,
74,7,,
74,8,,
74,9,,
74,11,,
74,20,,
75,4,,
75,7,,
75,8,,
75,9,,
75,11,,
75,20,,
76,4,,
76,8,,
76,9,,
76,11,,
76,20,,
77,6,,
77,9,,
77,11,,
77,15,,
77,16,,
77,19,,
77,20,,
77,22,,
78,6,,
78,7,,
78,11,,
78,16,,
78,20,,
78,22,,
79,5,,
79,9,,
79,20,,
80,5,,
80,7,,
80,11,,
80,16,,
80,20,,
80,22,,
81,5,,
81,6,,
81,9,,
81,11,,
82,1,,
82,6,,
82,11,,
82,16,,
82,20,,
82,22,,
83,5,,
83,6,,
83,7,,
83,16,,
83,19,,
83,21,,
84,6,,
84,7,,
84,11,,
84,16,,
84,20,,
84,22,,
85,6,,
85,7,,
85,11,,
85,16,,
85,20,,
85,22,,
86,6,,
86,8,,
86,11,,
86,16,,
86,19,,
86,20,,
87,6,,
87,7,,
87,11,,
87,16,,
87,18,,
87,20,,
87,22,,
88,5,,
88,6,,
88,7,,
88,8,,
88,9,,
88,15,,
88,16,,
88,17,,
88,20,,
88,21,,
88,22,,
89,6,,
89,7,,
89,8,,
89,13,,
89,16,,
89,20,,
90,7,,
90,9,,
90,11,,
90,16,,
90,17,,
90,20,,
90,22,,
91,5,,
91,9,,
91,11,,
91,20,,
91,22,,
92,7,,
92,8,,
92,9,,
92,11,,
92,16,,
92,20,,
92,22,,
93,8,,
93,9,,
93,11,,
93,13,,
93,16,,
94,1,,
94,11,,
94,16,,
94,20,,
94,22,,
95,5,,
95,7,,
95,16,,
95,19,,
95,20,,
96,1,,
96,4,,
96,7,,
96,8,,
96,20,,
97,1,,
97,4,,
97,7,,
97,11,,
97,15,,
97,19,,
97,20,,
97,22,,
98,4,,
98,20,,
99,16,,
99,20,,
99,22,,
100,4,,
100,11,,
100,16,,
101,5,,
101,6,,
101,7,,
101,9,,
101,11,,
101,13,,
102,5,,
102,6,,
102,9,,
103,2,,
103,11,,
104,6,,
104,11,,
105,5,,
105,6,,
105,13,,
106,6,,
106,7,,
106,11,,
106,13,,
107,6,,
107,9,,
107,11,,
108,5,,
108,9,,
109,4,,
109,6,,
109,7,,
109,11,,
110,5,,
110,6,,
110,8,,
110,11,,
111,5,,
111,6,,
111,9,,
111,11,,
111,16,,
111,19,,
111,20,,
112,4,,
112,8,,
112,9,,
112,11,,
112,14,,
113,4,,
113,11,,
113,14,,
113,16,,
113,19,,
114,4,,
114,8,,
114,11,,
114,16,,
114,20,,
114,22,,
115,4,,
115,5,,
115,6,,
115,7,,
115,9,,
115,16,,
115,19,,
115,20,,
115,21,,
115,22,,
116,1,,
116,5,,
116,8,,
116,11,,
116,14,,
116,20,,
117,4,,
117,8,,
117,11,,
117,20,,
117,22,,
118,5,,
118,8,,
118,9,,
120,7,,
120,8,,
120,9,,
120,11,,
120,13,,
120,16,,
120,19,,
120,20,,
120,22,,
121,8,,
121,9,,
121,11,,
122,5,,
122,7,,
122,8,,
122,9,,
122,11,,
122,13,,
122,16,,
122,20,,
123,7,,
123,8,,
123,9,,
123,11,,
123,16,,
123,20,,
123,22,,
124,4,,
124,5,,
124,8,,
125,11,,
126,4,,
126,7,,
126,9,,
126,11,,
126,22,,
127,4,,
127,7,,
127,11,,
128,7,,
128,8,,
128,9,,
128,11,,
128,16,,
128,21,,
128,22,,
129,9,,
129,11,,
129,20,,
129,21,,
130,6,,
130,8,,
130,9,,
130,11,,
130,14,,
130,16,,
130,19,,
130,20,,
130,22,,
131,6,,
131,8,,
131,9,,
131,11,,
131,14,,
131,16,,
131,20,,
131,22,,
132,4,,
132,5,,
132,8,,
132,9,,
132,11,,
132,14,,
132,16,,
132,22,,
133,6,,
133,11,,
133,20,,
134,1,,
134,11,,
134,16,,
134,22,,
135,6,,
135,11,,
136,11,,
137,4,,
137,11,,
137,20,,
138,4,,
138,8,,
138,11,,
138,20,,
139,4,,
139,11,,
139,20,,
140,4,,
140,11,,
140,16,,
140,20,,
140,22,,
141,11,,
141,20,,
141,22,,
142,7,,
142,11,,
143,9,,
143,11,,
143,16,,
143,19,,
143,20,,
143,21,,
143,22,,
144,4,,
144,5,,
144,6,,
144,7,,
144,11,,
144,21,,
145,7,,
145,20,,
145,22,,
146,7,,
146,11,,
146,13,,
146,14,,
146,16,,
146,22,,
148,7,,
148,8,,
148,11,,
149,11,,
149,20,,
149,22,,
150,5,,
150,13,,
151,4,,
151,5,,
151,8,,
151,13,,
151,20,,
151,22,,
153,8,,
154,20,,
155,5,,
155,6,,
156,9,,
156,20,,
156,22,,
157,6,,
157,9,,
157,13,,
157,22,,
158,6,,
158,7,,
158,10,,
158,22,,
159,4,,
159,6,,
159,20,,
160,16,,
160,22,,
161,4,,
161,5,,
162,16,,
163,6,,
163,7,,
163,9,,
163,10,,
164,11,,
164,20,,
165,4,,
165,8,,
165,11,,
165,16,,
165,20,,
166,6,,
166,9,,
166,11,,
166,16,,
166,20,,
166,22,,
167,6,,
167,8,,
167,9,,
167,11,,
167,16,,
167,20,,
167,22,,
168,6,,
168,9,,
168,11,,
168,16,,
168,20,,
169,9,,
169,11,,
169,16,,
169,20,,
170,6,,
170,9,,
170,11,,
170,13,,
170,20,,
170,22,,
171,5,,
171,6,,
171,9,,
171,16,,
171,20,,
172,5,,
172,6,,
172,7,,
172,9,,
173,11,,
173,14,,
174,11,,
174,16,,
174,19,,
174,20,,
174,21,,
174,22,,
175,11,,
175,20,,
176,8,,
176,11,,
176,16,,
176,22,,
177,11,,
178,7,,
178,8,,
178,11,,
179,8,,
179,11,,
180,7,,
180,8,,
180,9,,
181,5,,
181,6,,
181,8,,
181,9,,
181,16,,
181,22,,
182,1,,
182,7,,
182,20,,
182,22,,
183,5,,
183,11,,
185,11,,
186,1,,
186,4,,
186,8,,
186,11,,
186,16,,
186,20,,
187,7,,
187,8,,
187,11,,
187,20,,
187,22,,
188,7,,
188,11,,
188,20,,
188,22,,
189,8,,
189,11,,
189,20,,
190,11,,
191,11,,
191,20,,
192,4,,
192,8,,
193,4,,
193,8,,
193,11,,
194,16,,
195,5,,
195,8,,
195,11,,
195,13,,
195,16,,
195,20,,
196,8,,
196,11,,
196,22,,
197,11,,
197,20,,
198,6,,
198,11,,
198,16,,
198,20,,
199,13,,
199,20,,
199,22,,
200,8,,
200,11,,
200,20,,
201,11,,
201,22,,
202,8,,
202,11,,
203,8,,
203,11,,
204,8,,
204,9,,
204,11,,
204,20,,
204,22,,
205,8,,
205,9,,
205,11,,
205,22,,
206,9,,
206,11,,
206,20,,
207,4,,
207,8,,
207,16,,
207,20,,
208,8,,
208,11,,
208,20,,
209,1,,
209,6,,
209,7,,
209,8,,
209,9,,
209,16,,
209,20,,
209,22,,
210,4,,
210,5,,
211,1,,
211,2,,
211,5,,
211,7,,
211,8,,
211,9,,
211,14,,
211,19,,
212,2,,
212,7,,
212,15,,
212,16,,
212,19,,
212,20,,
212,21,,
213,7,,
213,8,,
213,13,,
213,20,,
213,22,,
214,1,,
214,5,,
214,7,,
214,13,,
214,20,,
214,21,,
214,22,,
215,5,,
215,7,,
215,19,,
215,20,,
215,21,,
215,22,,
217,5,,
217,7,,
217,12,,
217,16,,
217,20,,
217,22,,
218,5,,
218,6,,
218,11,,
219,1,,
219,6,,
219,9,,
219,11,,
219,16,,
219,20,,
220,11,,
221,4,,
221,9,,
221,11,,
222,1,,
222,5,,
222,6,,
222,9,,
222,16,,
223,1,,
223,6,,
223,8,,
223,9,,
223,11,,
223,16,,
224,5,,
224,6,,
224,9,,
224,11,,
224,19,,
224,22,,
225,1,,
225,5,,
225,6,,
225,9,,
225,11,,
226,9,,
226,11,,
227,6,,
227,7,,
227,11,,
227,20,,
228,11,,
229,8,,
229,9,,
229,11,,
229,16,,
229,22,,
230,5,,
230,9,,
230,11,,
231,6,,
231,7,,
231,11,,
231,16,,
232,5,,
232,7,,
232,9,,
232,16,,
232,20,,
232,22,,
233,6,,
233,9,,
233,16,,
233,20,,
234,7,,
234,9,,
234,11,,
234,22,,
235,5,,
235,9,,
235,16,,
236,1,,
236,4,,
236,5,,
236,7,,
236,8,,
236,10,,
236,19,,
236,20,,
236,21,,
236,22,,
237,1,,
237,5,,
237,7,,
237,9,,
237,11,,
237,20,,
237,22,,
238,6,,
238,7,,
238,8,,
238,10,,
238,16,,
238,19,,
238,20,,
238,22,,
239,5,,
239,9,,
239,16,,
239,20,,
239,22,,
240,16,,
240,20,,
240,22,,
241,5,,
241,16,,
241,20,,
241,22,,
242,5,,
242,19,,
242,20,,
242,22,,
243,20,,
243,22,,
244,16,,
244,20,,
244,22,,
245,16,,
245,20,,
245,22,,
246,4,,
246,7,,
246,8,,
246,9,,
246,19,,
246,20,,
246,21,,
246,22,,
247,4,,
247,6,,
247,7,,
247,8,,
247,11,,
247,13,,
247,16,,
247,19,,
247,21,,
247,22,,
248,4,,
248,8,,
248,11,,
248,15,,
248,21,,
248,22,,
249,1,,
249,7,,
249,9,,
249,13,,
249,16,,
249,19,,
249,21,,
249,22,,
250,1,,
250,4,,
